,pretrained,train_size,accuracy,loss
0,False,1.0,0.6507999897003174,2.29394268989563
1,True,0.5,0.7070000171661377,2.5738556385040283
2,False,0.01,0.31040000915527344,3.233961343765259
3,True,1.0,0.7480000257492065,2.2699480056762695
4,False,0.05,0.3977999985218048,3.450117588043213
5,True,0.05,0.5605999827384949,2.7571349143981934
6,False,0.5,0.5863999724388123,3.196254253387451
7,False,0.1,0.4496000111103058,3.4573304653167725
8,True,0.1,0.5950000286102295,2.990615129470825
9,True,0.01,0.4668000042438507,2.498383045196533
